"Time (UTC)","Sensor output (cm)","Quality parameter","Temperature (°C)","Corrected distance (cm)","Snow height (cm)"
"2020-12-11 12:10:09","106.60 ± 1.00","191.67","-26.0","101.40 ± 1.00","100.40 ± 1.00"
"2020-12-11 00:10:09","106.60 ± 1.00","191.67","-26.0","101.40 ± 1.00","100.40 ± 1.00"
"2020-12-10 12:10:09","106.60 ± 1.00","191.67","-25.8","101.44 ± 1.00","100.36 ± 1.00"
"2020-12-10 00:10:10","105.97 ± 1.00","174.33","-23.6","101.28 ± 1.00","100.52 ± 1.00"
"2020-12-09 12:10:09","105.70 ± 1.00","175.67","-22.1","101.33 ± 1.00","100.47 ± 1.00"
"2020-12-09 00:10:09","106.90 ± 1.00","191.67","-27.6","101.35 ± 1.00","100.45 ± 1.00"
"2020-12-08 12:10:09","105.90 ± 1.00","191.33","-22.6","101.41 ± 1.00","100.39 ± 1.00"
"2020-12-08 00:10:10","106.50 ± 1.00","191.33","-25.2","101.47 ± 1.00","100.33 ± 1.00"
"2020-12-07 12:10:10","106.80 ± 1.00","190.67","-26.7","101.44 ± 1.00","100.36 ± 1.00"
"2020-12-07 00:10:09","106.60 ± 1.00","191.33","-25.9","101.42 ± 1.00","100.38 ± 1.00"
"2020-12-06 12:10:09","106.07 ± 1.00","189.67","-23.5","101.40 ± 1.00","100.40 ± 1.00"
"2020-12-06 00:10:09","105.27 ± 1.00","177.33","-22.2","100.90 ± 1.00","100.90 ± 1.00"
"2020-12-05 12:10:10","105.97 ± 1.00","170.67","-23.7","101.27 ± 1.00","100.53 ± 1.00"
"2020-12-05 00:10:09","106.60 ± 1.00","175.33","-26.9","101.21 ± 1.00","100.59 ± 1.00"
"2020-12-04 12:10:09","106.53 ± 1.00","188.67","-26.4","101.25 ± 1.00","100.55 ± 1.00"
"2020-12-04 00:10:09","107.00 ± 1.00","189.67","-28.6","101.25 ± 1.00","100.55 ± 1.00"
"2020-12-03 12:10:10","106.90 ± 1.00","185.00","-27.7","101.34 ± 1.00","100.46 ± 1.00"
"2020-12-03 00:10:07","106.80 ± 1.00","191.00","-27.5","101.29 ± 1.00","100.51 ± 1.00"
"2020-12-02 12:10:09","107.73 ± 1.00","191.67","-31.5","101.34 ± 1.00","100.46 ± 1.00"
"2020-12-02 00:10:10","107.97 ± 1.00","191.33","-32.7","101.31 ± 1.00","100.49 ± 1.00"
"2020-12-01 12:10:07","108.10 ± 1.00","191.67","-33.5","101.24 ± 1.00","100.56 ± 1.00"
"2020-12-01 00:10:09","107.63 ± 1.00","191.67","-31.7","101.20 ± 1.00","100.60 ± 1.00"
"2020-11-30 12:10:09","107.60 ± 1.00","191.33","-31.1","101.28 ± 1.00","100.52 ± 1.00"
"2020-11-30 00:10:07","107.80 ± 1.00","191.33","-32.1","101.27 ± 1.00","100.53 ± 1.00"
"2020-11-29 12:10:09","107.60 ± 1.00","191.33","-31.0","101.31 ± 1.00","100.49 ± 1.00"
"2020-11-29 00:10:09","107.40 ± 1.00","191.67","-30.2","101.28 ± 1.00","100.52 ± 1.00"
"2020-11-28 12:10:09","107.30 ± 1.00","191.67","-29.2","101.40 ± 1.00","100.40 ± 1.00"
"2020-11-28 00:10:10","107.37 ± 1.00","191.67","-30.1","101.29 ± 1.00","100.51 ± 1.00"
"2020-11-27 12:10:09","107.50 ± 1.00","191.67","-30.4","101.34 ± 1.00","100.46 ± 1.00"
"2020-11-27 00:10:07","107.40 ± 1.00","191.33","-30.5","101.23 ± 1.00","100.57 ± 1.00"
"2020-11-26 12:10:10","107.10 ± 1.00","191.00","-28.6","101.35 ± 1.00","100.45 ± 1.00"
"2020-11-26 00:10:07","107.10 ± 1.00","191.33","-29.1","101.24 ± 1.00","100.56 ± 1.00"
"2020-11-25 12:10:07","107.20 ± 1.00","191.33","-28.9","101.38 ± 1.00","100.42 ± 1.00"
"2020-11-25 00:10:07","106.93 ± 1.00","191.33","-28.1","101.28 ± 1.00","100.52 ± 1.00"
"2020-11-24 12:10:09","107.10 ± 1.00","192.00","-29.1","101.24 ± 1.00","100.56 ± 1.00"
"2020-11-24 00:10:10","106.70 ± 1.00","191.33","-27.2","101.25 ± 1.00","100.55 ± 1.00"
"2020-11-23 12:10:10","106.80 ± 1.00","191.00","-27.1","101.37 ± 1.00","100.43 ± 1.00"
"2020-11-23 00:10:09","106.80 ± 1.00","191.00","-27.7","101.24 ± 1.00","100.56 ± 1.00"
"2020-11-22 12:10:07","107.23 ± 1.00","191.67","-29.6","101.25 ± 1.00","100.55 ± 1.00"
"2020-11-22 00:10:07","106.80 ± 1.00","192.00","-27.6","101.27 ± 1.00","100.53 ± 1.00"
"2020-11-21 12:10:09","107.00 ± 1.00","191.67","-29.1","101.14 ± 1.00","100.66 ± 1.00"
"2020-11-21 00:10:09","107.00 ± 1.00","191.00","-28.7","101.22 ± 1.00","100.58 ± 1.00"
"2020-11-20 12:10:09","106.57 ± 1.00","191.67","-26.6","101.25 ± 1.00","100.55 ± 1.00"
"2020-11-20 00:10:07","106.70 ± 1.00","191.67","-27.4","101.21 ± 1.00","100.59 ± 1.00"
"2020-11-19 12:10:07","107.00 ± 1.00","191.33","-28.5","101.26 ± 1.00","100.54 ± 1.00"
"2020-11-19 00:10:10","106.80 ± 1.00","190.67","-27.7","101.24 ± 1.00","100.56 ± 1.00"
"2020-11-18 12:10:10","107.40 ± 1.00","191.00","-30.2","101.29 ± 1.00","100.51 ± 1.00"
"2020-11-18 00:10:07","107.43 ± 1.00","171.67","-31.2","101.11 ± 1.00","100.69 ± 1.00"
"2020-11-17 12:10:09","106.80 ± 1.00","192.00","-28.1","101.16 ± 1.00","100.64 ± 1.00"
"2020-11-17 00:10:07","107.20 ± 1.00","191.00","-26.6","101.84 ± 1.00","99.96 ± 1.00"
"2020-11-16 12:10:07","107.80 ± 1.00","189.67","-28.9","101.93 ± 1.00","99.87 ± 1.00"
"2020-11-16 00:10:08","107.33 ± 1.00","178.00","-24.9","102.33 ± 1.00","99.47 ± 1.00"
"2020-11-15 12:10:09","107.93 ± 1.00","186.33","-28.1","102.24 ± 1.00","99.56 ± 1.00"
"2020-11-15 00:10:09","108.07 ± 1.00","182.67","-30.6","101.82 ± 1.00","99.98 ± 1.00"
"2020-11-14 12:10:09","109.33 ± 1.00","186.00","-33.8","102.35 ± 1.00","99.45 ± 1.00"
"2020-11-14 00:10:10","108.33 ± 1.00","172.00","-32.2","101.75 ± 1.00","100.05 ± 1.00"
"2020-11-13 12:10:09","108.23 ± 1.00","192.00","-33.5","101.37 ± 1.00","100.43 ± 1.00"
"2020-11-13 00:10:09","108.03 ± 1.00","190.67","-35.5","100.78 ± 1.00","101.02 ± 1.00"
"2020-11-12 12:10:09","106.30 ± 1.00","184.00","-34.8","99.30 ± 1.00","102.50 ± 1.00"
"2020-11-12 00:10:09","108.10 ± 1.00","192.33","-37.7","100.36 ± 1.00","101.44 ± 1.00"
"2020-11-11 12:10:09","108.40 ± 1.00","192.33","-39.5","100.25 ± 1.00","101.55 ± 1.00"
"2020-11-11 00:10:10","108.33 ± 1.00","192.33","-39.6","100.16 ± 1.00","101.64 ± 1.00"
"2020-11-10 12:10:10","109.00 ± 1.00","192.33","-42.1","100.24 ± 1.00","101.56 ± 1.00"
"2020-11-10 00:10:09","109.10 ± 1.00","192.00","-43.6","100.02 ± 1.00","101.78 ± 1.00"
"2020-11-09 12:10:09","109.30 ± 1.00","192.33","-43.9","100.12 ± 1.00","101.68 ± 1.00"
"2020-11-09 00:10:09","109.00 ± 1.00","192.33","-43.2","100.00 ± 1.00","101.80 ± 1.00"
"2020-11-08 12:10:09","109.00 ± 1.00","192.33","-42.0","100.28 ± 1.00","101.52 ± 1.00"
"2020-11-08 00:10:10","108.03 ± 1.00","185.33","-37.9","100.26 ± 1.00","101.54 ± 1.00"
"2020-11-07 12:10:10","116.20 ± 1.00","191.67","-35.9","108.30 ± 1.00","93.50 ± 1.00"
"2020-11-07 00:10:09","114.90 ± 1.00","188.67","-30.6","108.28 ± 1.00","93.52 ± 1.00"
"2020-11-06 12:10:10","115.90 ± 1.00","191.33","-34.8","108.28 ± 1.00","93.52 ± 1.00"
"2020-11-06 00:10:09","115.63 ± 1.00","191.33","-33.7","108.27 ± 1.00","93.53 ± 1.00"
"2020-11-05 12:10:09","115.90 ± 1.00","192.00","-34.6","108.31 ± 1.00","93.49 ± 1.00"
"2020-11-05 00:10:09","116.50 ± 1.00","191.67","-37.1","108.30 ± 1.00","93.50 ± 1.00"
"2020-11-04 12:10:09","117.03 ± 1.00","192.00","-38.9","108.39 ± 1.00","93.41 ± 1.00"
"2020-11-04 00:10:09","116.43 ± 1.00","178.67","-38.0","108.04 ± 1.00","93.76 ± 1.00"
"2020-11-03 12:10:10","117.83 ± 1.00","191.67","-41.7","108.46 ± 1.00","93.34 ± 1.00"
"2020-11-03 00:10:10","118.20 ± 1.00","192.00","-43.9","108.29 ± 1.00","93.51 ± 1.00"
"2020-11-02 12:10:09","118.00 ± 1.00","191.00","-43.1","108.30 ± 1.00","93.50 ± 1.00"
"2020-11-02 00:10:09","117.50 ± 1.00","193.00","-45.2","107.33 ± 1.00","94.47 ± 1.00"
"2020-11-01 12:10:09","118.00 ± 1.00","191.67","-43.7","108.15 ± 1.00","93.65 ± 1.00"
"2020-11-01 00:10:09","118.50 ± 1.00","191.33","-46.0","108.06 ± 1.00","93.74 ± 1.00"
"2020-10-31 12:10:10","119.30 ± 1.00","192.00","-48.5","108.20 ± 1.00","93.60 ± 1.00"
"2020-10-31 00:10:10","119.53 ± 1.00","192.00","-50.7","107.88 ± 1.00","93.92 ± 1.00"
"2020-10-30 12:10:09","119.20 ± 1.00","191.67","-48.4","108.13 ± 1.00","93.67 ± 1.00"
"2020-10-30 00:10:09","118.90 ± 1.00","192.00","-47.4","108.10 ± 1.00","93.70 ± 1.00"
"2020-10-29 12:10:09","118.40 ± 1.00","191.67","-45.5","108.08 ± 1.00","93.72 ± 1.00"
"2020-10-29 00:10:09","118.70 ± 1.00","192.00","-47.8","107.82 ± 1.00","93.98 ± 1.00"
"2020-10-28 12:10:10","118.80 ± 1.00","191.67","-46.0","108.35 ± 1.00","93.45 ± 1.00"
"2020-10-28 00:10:10","118.87 ± 1.00","191.33","-46.1","108.37 ± 1.00","93.43 ± 1.00"
"2020-10-27 12:10:09","119.10 ± 1.00","192.00","-47.2","108.32 ± 1.00","93.48 ± 1.00"
"2020-10-27 00:10:09","118.77 ± 1.00","192.00","-46.2","108.25 ± 1.00","93.55 ± 1.00"
"2020-10-26 12:10:09","118.70 ± 1.00","192.00","-46.2","108.20 ± 1.00","93.60 ± 1.00"
"2020-10-26 00:10:10","117.90 ± 1.00","191.33","-43.1","108.21 ± 1.00","93.59 ± 1.00"
"2020-10-25 12:10:10","118.97 ± 1.00","192.33","-46.9","108.27 ± 1.00","93.53 ± 1.00"
"2020-10-25 00:10:07","118.90 ± 1.00","192.00","-47.1","108.17 ± 1.00","93.63 ± 1.00"
"2020-10-24 12:10:07","119.60 ± 1.00","192.00","-48.9","108.38 ± 1.00","93.42 ± 1.00"
"2020-10-24 00:10:10","119.10 ± 1.00","192.00","-47.4","108.27 ± 1.00","93.53 ± 1.00"
"2020-10-23 12:10:10","117.70 ± 1.00","191.33","-42.4","108.19 ± 1.00","93.61 ± 1.00"
"2020-10-23 00:10:09","119.33 ± 1.00","192.00","-48.0","108.33 ± 1.00","93.47 ± 1.00"
"2020-10-22 12:10:09","120.20 ± 1.00","192.00","-50.8","108.45 ± 1.00","93.35 ± 1.00"
"2020-10-22 00:10:09","120.17 ± 1.00","192.00","-51.0","108.37 ± 1.00","93.43 ± 1.00"
"2020-10-21 12:10:09","121.03 ± 1.00","192.33","-53.6","108.51 ± 1.00","93.29 ± 1.00"
"2020-10-21 00:10:09","121.30 ± 1.00","192.00","-54.8","108.45 ± 1.00","93.35 ± 1.00"
"2020-10-20 12:10:09","113.10 ± 1.00","187.67","-55.3","101.00 ± 1.00","100.80 ± 1.00"
"2020-10-20 00:10:10","116.30 ± 1.00","187.33","-54.1","104.15 ± 1.00","97.65 ± 1.00"
"2020-10-19 12:10:10","121.20 ± 1.00","192.33","-54.5","108.44 ± 1.00","93.36 ± 1.00"
"2020-10-19 00:10:09","121.30 ± 1.00","193.00","-54.8","108.45 ± 1.00","93.35 ± 1.00"
"2020-10-18 12:10:09","114.73 ± 1.00","225.00","-57.0","102.06 ± 1.00","99.74 ± 1.00"
"2020-10-18 00:10:09","122.30 ± 1.00","193.00","-59.0","108.29 ± 1.00","93.51 ± 1.00"
"2020-10-17 12:10:10","123.10 ± 1.00","192.33","-61.3","108.41 ± 1.00","93.39 ± 1.00"
"2020-10-17 00:10:10","122.70 ± 1.00","192.67","-59.4","108.54 ± 1.00","93.26 ± 1.00"
"2020-10-16 12:10:09","121.27 ± 1.00","192.00","-54.7","108.45 ± 1.00","93.35 ± 1.00"
"2020-10-16 00:10:09","120.53 ± 1.00","192.00","-54.0","107.96 ± 1.00","93.84 ± 1.00"
"2020-10-15 12:10:09","121.67 ± 1.00","192.33","-55.7","108.56 ± 1.00","93.24 ± 1.00"
"2020-10-15 00:10:09","121.20 ± 1.00","192.67","-56.0","108.06 ± 1.00","93.74 ± 1.00"
"2020-10-14 12:10:09","120.60 ± 1.00","192.33","-52.8","108.32 ± 1.00","93.48 ± 1.00"
"2020-10-14 00:10:10","121.00 ± 1.00","192.33","-54.9","108.16 ± 1.00","93.64 ± 1.00"
"2020-10-13 12:10:10","121.53 ± 1.00","192.67","-57.1","108.09 ± 1.00","93.71 ± 1.00"
"2020-10-13 00:10:09","122.10 ± 1.00","192.67","-58.4","108.26 ± 1.00","93.54 ± 1.00"
"2020-10-12 12:10:09","121.67 ± 1.00","192.33","-56.7","108.31 ± 1.00","93.49 ± 1.00"
"2020-10-12 00:10:09","121.00 ± 1.00","192.67","-53.7","108.46 ± 1.00","93.34 ± 1.00"
"2020-10-11 12:10:09","120.70 ± 1.00","192.67","-52.6","108.46 ± 1.00","93.34 ± 1.00"
"2020-10-11 00:10:10","120.90 ± 1.00","191.00","-53.3","108.46 ± 1.00","93.34 ± 1.00"
"2020-10-10 12:10:10","114.37 ± 1.00","240.33","-54.7","102.28 ± 1.00","99.52 ± 1.00"
"2020-10-10 00:10:09","115.80 ± 1.00","236.33","-58.6","102.63 ± 1.00","99.17 ± 1.00"
"2020-10-09 12:10:09","116.70 ± 1.00","237.67","-61.0","102.85 ± 1.00","98.95 ± 1.00"
"2020-10-09 00:10:09","115.80 ± 1.00","246.33","-57.2","102.96 ± 1.00","98.84 ± 1.00"
"2020-10-08 12:10:09","115.80 ± 1.00","254.67","-58.2","102.73 ± 1.00","99.07 ± 1.00"
"2020-10-08 00:10:09","116.13 ± 1.00","254.33","-59.0","102.83 ± 1.00","98.97 ± 1.00"
"2020-10-07 12:10:10","115.90 ± 1.00","238.00","-49.1","104.97 ± 1.00","96.83 ± 1.00"
"2020-10-07 00:10:10","115.00 ± 1.00","235.00","-53.2","103.20 ± 1.00","98.60 ± 1.00"
"2020-10-06 12:10:09","114.90 ± 1.00","229.00","-56.2","102.40 ± 1.00","99.40 ± 1.00"
"2020-10-06 00:10:09","113.97 ± 1.00","236.67","-54.9","101.87 ± 1.00","99.93 ± 1.00"
"2020-10-05 12:10:09","114.23 ± 1.00","234.00","-53.4","102.46 ± 1.00","99.34 ± 1.00"
"2020-10-05 00:10:10","113.73 ± 1.00","240.67","-51.7","102.41 ± 1.00","99.39 ± 1.00"
"2020-10-04 12:10:10","114.50 ± 1.00","193.00","-53.0","102.79 ± 1.00","99.01 ± 1.00"
"2020-10-04 00:10:09","119.03 ± 1.00","188.00","-51.5","107.23 ± 1.00","94.57 ± 1.00"
"2020-10-03 12:10:09","111.33 ± 1.00","234.67","-57.3","98.97 ± 1.00","102.83 ± 1.00"
"2020-10-03 00:10:09","110.97 ± 1.00","209.00","-64.0","97.10 ± 1.00","104.70 ± 1.00"
"2020-10-02 12:10:09","111.90 ± 1.00","205.00","-64.8","97.73 ± 1.00","104.07 ± 1.00"
"2020-10-02 00:10:10","110.17 ± 1.00","207.33","-59.2","97.50 ± 1.00","104.30 ± 1.00"
"2020-10-01 12:10:10","110.93 ± 1.00","206.00","-61.2","97.72 ± 1.00","104.08 ± 1.00"
"2020-10-01 00:10:07","112.03 ± 1.00","207.00","-64.3","97.96 ± 1.00","103.84 ± 1.00"
"2020-09-30 12:10:10","111.37 ± 1.00","186.33","-65.1","97.19 ± 1.00","104.61 ± 1.00"
"2020-09-30 00:10:09","112.50 ± 1.00","186.33","-69.4","97.16 ± 1.00","104.64 ± 1.00"
"2020-09-29 12:10:09","112.27 ± 1.00","179.67","-68.4","97.20 ± 1.00","104.60 ± 1.00"
"2020-09-29 00:10:09","112.50 ± 1.00","173.33","-65.0","98.21 ± 1.00","103.59 ± 1.00"
"2020-09-28 12:10:10","110.70 ± 1.00","176.33","-60.7","97.63 ± 1.00","104.17 ± 1.00"
"2020-09-28 00:10:09","110.23 ± 1.00","173.00","-60.4","97.29 ± 1.00","104.51 ± 1.00"
"2020-09-27 12:10:09","110.50 ± 1.00","173.00","-60.5","97.50 ± 1.00","104.30 ± 1.00"
"2020-09-27 00:10:09","109.93 ± 1.00","211.33","-57.0","97.79 ± 1.00","104.01 ± 1.00"
"2020-09-26 12:10:10","124.67 ± 1.00","268.67","-62.6","109.45 ± 1.00","92.35 ± 1.00"
"2020-09-26 00:10:09","115.67 ± 1.00","234.67","-68.2","100.19 ± 1.00","101.61 ± 1.00"
"2020-09-25 12:10:09","113.93 ± 1.00","250.67","-63.5","99.82 ± 1.00","101.98 ± 1.00"
"2020-09-25 00:10:10","122.63 ± 1.00","184.33","-59.5","108.46 ± 1.00","93.34 ± 1.00"
"2020-09-24 00:10:09","116.17 ± 1.00","192.00","-58.7","102.93 ± 1.00","98.87 ± 1.00"
"2020-09-23 12:10:09","77.43 ± 1.00","170.33","-63.4","67.85 ± 1.00","133.95 ± 1.00"
"2020-09-23 00:10:09","116.67 ± 1.00","266.33","-64.8","101.89 ± 1.00","99.91 ± 1.00"
"2020-09-22 12:10:09","123.07 ± 1.00","194.00","-63.0","107.95 ± 1.00","93.85 ± 1.00"
"2020-09-22 00:10:09","122.40 ± 1.00","194.00","-58.7","108.45 ± 1.00","93.35 ± 1.00"
"2020-09-21 12:10:10","116.07 ± 1.00","261.00","-56.5","103.37 ± 1.00","98.43 ± 1.00"
"2020-09-20 00:10:09","122.13 ± 1.00","197.67","-61.1","107.61 ± 1.00","94.19 ± 1.00"
"2020-09-19 12:10:10","116.70 ± 1.00","201.00","-57.4","103.72 ± 1.00","98.08 ± 1.00"
"2020-09-19 00:10:09","117.60 ± 1.00","195.33","-54.7","105.17 ± 1.00","96.63 ± 1.00"
"2020-09-18 12:10:09","119.63 ± 1.00","192.67","-49.0","108.37 ± 1.00","93.43 ± 1.00"
"2020-09-18 00:10:09","112.70 ± 1.00","172.33","-47.6","102.41 ± 1.00","99.39 ± 1.00"
"2020-09-17 12:10:09","118.90 ± 1.00","193.00","-46.8","108.24 ± 1.00","93.56 ± 1.00"
"2020-09-17 00:10:10","120.10 ± 1.00","193.33","-50.7","108.38 ± 1.00","93.42 ± 1.00"
"2020-09-16 12:10:09","122.10 ± 1.00","193.33","-58.8","108.16 ± 1.00","93.64 ± 1.00"
"2020-09-16 00:10:09","120.83 ± 1.00","192.67","-54.3","108.16 ± 1.00","93.64 ± 1.00"
"2020-09-15 12:10:09","119.97 ± 1.00","194.00","-49.9","108.46 ± 1.00","93.34 ± 1.00"
"2020-09-15 00:10:10","119.70 ± 1.00","192.00","-49.7","108.26 ± 1.00","93.54 ± 1.00"
"2020-09-14 12:10:09","121.20 ± 1.00","193.33","-54.3","108.49 ± 1.00","93.31 ± 1.00"
"2020-09-14 00:10:09","122.23 ± 1.00","183.33","-58.7","108.31 ± 1.00","93.49 ± 1.00"
"2020-09-13 12:10:09","118.53 ± 1.00","203.67","-63.7","103.80 ± 1.00","98.00 ± 1.00"
"2020-09-13 00:10:08","115.70 ± 1.00","189.67","-64.9","101.02 ± 1.00","100.78 ± 1.00"
"2020-09-12 12:10:09","120.90 ± 1.00","200.00","-60.9","106.57 ± 1.00","95.23 ± 1.00"
"2020-09-12 00:10:09","121.20 ± 1.00","175.33","-62.0","106.56 ± 1.00","95.24 ± 1.00"
"2020-09-11 12:10:09","123.23 ± 1.00","189.33","-71.4","105.91 ± 1.00","95.89 ± 1.00"
"2020-09-11 00:10:10","124.90 ± 1.00","178.00","-73.8","106.70 ± 1.00","95.10 ± 1.00"
"2020-09-10 12:10:10","124.20 ± 1.00","191.00","-72.5","106.45 ± 1.00","95.35 ± 1.00"
"2020-09-10 00:10:09","123.70 ± 1.00","195.33","-70.3","106.60 ± 1.00","95.20 ± 1.00"
"2020-09-09 12:10:09","123.23 ± 1.00","196.33","-69.7","106.35 ± 1.00","95.45 ± 1.00"
"2020-09-09 00:10:09","121.80 ± 1.00","191.67","-64.7","106.40 ± 1.00","95.40 ± 1.00"
"2020-09-08 12:10:10","120.97 ± 1.00","189.67","-59.9","106.88 ± 1.00","94.92 ± 1.00"
"2020-09-08 00:10:09","120.73 ± 1.00","199.00","-60.3","106.58 ± 1.00","95.22 ± 1.00"
"2020-09-07 12:10:09","119.47 ± 1.00","199.00","-56.0","106.52 ± 1.00","95.28 ± 1.00"
"2020-09-07 00:10:09","119.63 ± 1.00","206.67","-55.0","106.91 ± 1.00","94.89 ± 1.00"
"2020-09-06 12:10:10","118.37 ± 1.00","205.00","-50.2","106.94 ± 1.00","94.86 ± 1.00"
"2020-09-06 00:10:09","119.33 ± 1.00","224.67","-54.7","106.72 ± 1.00","95.08 ± 1.00"
"2020-09-05 12:10:10","120.13 ± 1.00","206.00","-64.4","105.02 ± 1.00","96.78 ± 1.00"
"2020-09-05 00:10:09","121.57 ± 1.00","206.67","-63.4","106.53 ± 1.00","95.27 ± 1.00"
"2020-09-04 12:10:10","116.23 ± 1.00","203.00","-55.1","103.85 ± 1.00","97.95 ± 1.00"
"2020-09-04 00:10:10","117.67 ± 1.00","225.00","-47.2","107.02 ± 1.00","94.78 ± 1.00"
"2020-09-03 12:10:09","111.33 ± 1.00","232.00","-44.9","101.77 ± 1.00","100.03 ± 1.00"
"2020-09-03 00:10:10","117.00 ± 1.00","246.33","-55.1","104.54 ± 1.00","97.26 ± 1.00"
"2020-09-02 12:10:09","118.33 ± 1.00","256.33","-59.6","104.63 ± 1.00","97.17 ± 1.00"
"2020-09-02 00:10:10","118.13 ± 1.00","253.67","-57.5","104.97 ± 1.00","96.83 ± 1.00"
"2020-09-01 12:10:09","117.40 ± 1.00","285.67","-56.1","104.65 ± 1.00","97.15 ± 1.00"
"2020-09-01 00:10:10","118.23 ± 1.00","276.33","-57.6","105.03 ± 1.00","96.77 ± 1.00"
"2020-08-31 00:10:09","119.60 ± 1.00","260.67","-65.9","104.18 ± 1.00","97.62 ± 1.00"
"2020-08-30 12:10:10","119.63 ± 1.00","231.00","-65.9","104.21 ± 1.00","97.59 ± 1.00"
"2020-08-30 00:10:09","117.17 ± 1.00","247.00","-61.1","103.23 ± 1.00","98.57 ± 1.00"
"2020-08-29 12:10:09","116.90 ± 1.00","204.67","-66.0","101.80 ± 1.00","100.00 ± 1.00"
"2020-08-29 00:10:09","119.63 ± 1.00","243.67","-70.5","103.04 ± 1.00","98.76 ± 1.00"
"2020-08-28 12:10:10","116.10 ± 1.00","246.33","-66.8","100.91 ± 1.00","100.89 ± 1.00"
"2020-08-28 00:10:09","114.67 ± 1.00","235.00","-60.0","101.29 ± 1.00","100.51 ± 1.00"
"2020-08-27 12:10:09","114.23 ± 1.00","202.00","-60.0","100.91 ± 1.00","100.89 ± 1.00"
"2020-08-27 00:10:10","113.00 ± 1.00","198.67","-55.9","100.78 ± 1.00","101.02 ± 1.00"
"2020-08-26 12:10:09","111.40 ± 1.00","182.00","-51.5","100.35 ± 1.00","101.45 ± 1.00"
"2020-08-26 00:10:10","120.63 ± 1.00","192.67","-52.0","108.55 ± 1.00","93.25 ± 1.00"
"2020-08-25 12:10:09","121.03 ± 1.00","192.67","-54.3","108.34 ± 1.00","93.46 ± 1.00"
"2020-08-25 00:10:10","121.50 ± 1.00","192.33","-55.2","108.53 ± 1.00","93.27 ± 1.00"
"2020-08-24 12:10:09","121.80 ± 1.00","193.33","-56.4","108.50 ± 1.00","93.30 ± 1.00"
"2020-08-24 00:10:10","121.20 ± 1.00","192.33","-54.6","108.41 ± 1.00","93.39 ± 1.00"
"2020-08-23 12:10:09","122.40 ± 1.00","193.00","-58.6","108.48 ± 1.00","93.32 ± 1.00"
"2020-08-23 00:10:09","124.10 ± 1.00","193.33","-64.8","108.38 ± 1.00","93.42 ± 1.00"
"2020-08-22 12:10:09","124.30 ± 1.00","193.33","-67.7","107.80 ± 1.00","94.00 ± 1.00"
"2020-08-22 00:10:09","124.20 ± 1.00","193.67","-64.9","108.45 ± 1.00","93.35 ± 1.00"
"2020-08-21 12:10:09","124.00 ± 1.00","193.00","-64.2","108.45 ± 1.00","93.35 ± 1.00"
"2020-08-21 00:10:09","124.00 ± 1.00","193.00","-64.8","108.30 ± 1.00","93.50 ± 1.00"
"2020-08-20 12:10:10","121.60 ± 1.00","192.33","-56.5","108.30 ± 1.00","93.50 ± 1.00"
"2020-08-20 00:10:09","123.10 ± 1.00","193.67","-61.7","108.31 ± 1.00","93.49 ± 1.00"
"2020-08-19 12:10:10","124.07 ± 1.00","193.67","-64.7","108.38 ± 1.00","93.42 ± 1.00"
"2020-08-19 00:10:09","124.87 ± 1.00","194.00","-70.5","107.55 ± 1.00","94.25 ± 1.00"
"2020-08-18 12:10:10","125.10 ± 1.00","193.67","-70.0","107.89 ± 1.00","93.91 ± 1.00"
"2020-08-18 00:10:09","126.00 ± 1.00","193.67","-71.7","108.21 ± 1.00","93.59 ± 1.00"
"2020-08-17 12:10:09","125.50 ± 1.00","194.00","-70.3","108.15 ± 1.00","93.65 ± 1.00"
"2020-08-17 00:10:10","124.23 ± 1.00","193.67","-66.2","108.14 ± 1.00","93.66 ± 1.00"
"2020-08-16 12:10:09","124.40 ± 1.00","193.67","-65.4","108.49 ± 1.00","93.31 ± 1.00"
"2020-08-16 00:10:08","123.43 ± 1.00","193.67","-62.7","108.34 ± 1.00","93.46 ± 1.00"
"2020-08-15 12:10:09","123.70 ± 1.00","194.00","-63.5","108.37 ± 1.00","93.43 ± 1.00"
"2020-08-15 00:10:09","123.17 ± 1.00","193.33","-62.7","108.11 ± 1.00","93.69 ± 1.00"
"2020-08-14 12:10:09","122.47 ± 1.00","193.33","-60.2","108.13 ± 1.00","93.67 ± 1.00"
"2020-08-14 00:10:10","120.80 ± 1.00","192.67","-53.2","108.40 ± 1.00","93.40 ± 1.00"
"2020-08-13 12:10:09","119.00 ± 1.00","192.67","-46.6","108.37 ± 1.00","93.43 ± 1.00"
"2020-08-13 00:10:10","120.57 ± 1.00","193.00","-52.9","108.26 ± 1.00","93.54 ± 1.00"
"2020-08-12 12:10:09","121.30 ± 1.00","193.00","-55.5","108.28 ± 1.00","93.52 ± 1.00"
"2020-08-12 00:10:10","123.10 ± 1.00","193.67","-59.4","108.90 ± 1.00","92.90 ± 1.00"
"2020-08-11 12:10:09","122.17 ± 1.00","193.33","-59.1","108.15 ± 1.00","93.65 ± 1.00"
"2020-08-11 00:10:10","123.60 ± 1.00","193.67","-69.8","106.64 ± 1.00","95.16 ± 1.00"
"2020-08-10 12:10:09","122.30 ± 1.00","193.67","-59.6","108.14 ± 1.00","93.66 ± 1.00"
"2020-08-10 00:10:09","124.13 ± 1.00","193.67","-67.2","107.79 ± 1.00","94.01 ± 1.00"
